Case_ID,agent_profile_id,Resource,machine_name,duration_seconds,Process Name,Window Title,URL,Window,Activity,Step,Window Element,mouse_click_count,keypress_count,copy_count,paste_count,Start Time,EndTime
1175,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.441,WINWORD,Document1 - Word,,Microsoft Word,Status Waiting for Customer,Microsoft Word,Microsoft Word,0,0,0,0,2025-06-11T12:21:57.523000,2025-06-11T12:21:57.964000
1176,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.149,msedge,Recently Viewed | Accounts | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Contact/home,Salesforce,Status Escalated,Salesforce | Contacts | Recently Viewed,Salesforce | Contacts | Recently Viewed,0,0,0,0,2025-06-11T12:23:12.913000,2025-06-11T12:23:13.062000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status In Progress,Microsoft Excel,A2,0,0,0,0,2025-06-11T12:31:47.182000,2025-06-11T12:31:47.182000
1175,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,1.389,msedge,Recent | Dashboards | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Dashboard/home?queryScope=mru,Salesforce,Status On Hold,Salesforce | Dashboards,Salesforce | Dashboards,1,0,0,0,2025-06-11T12:21:08.375000,2025-06-11T12:21:09.764000
1176,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,1.989,msedge,Recent | Reports | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Report/home?queryScope=mru,Salesforce,Status Response Received,Salesforce | Reports,Salesforce | Reports,1,0,0,0,2025-06-11T12:24:05.015000,2025-06-11T12:24:07.004000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status In Progress,Microsoft Excel,B2,0,0,0,0,2025-06-11T12:31:48.677000,2025-06-11T12:31:48.677000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status In Progress,Microsoft Excel,B4,0,0,0,0,2025-06-11T12:32:10.124000,2025-06-11T12:32:10.124000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status In Progress,Microsoft Excel,B3,0,0,0,0,2025-06-11T12:32:10.578000,2025-06-11T12:32:10.578000
1176,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.703,msedge,New Case | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/r/Case/500J300000E5HehIAF/view,Salesforce,Status Waiting for Customer,Salesforce | Case | New,Salesforce | Case | New,0,0,0,0,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status Response Received,Microsoft Excel,C3,0,0,0,0,2025-06-11T12:32:08.247000,2025-06-11T12:32:08.247000
1175,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,16.63,msedge,New Case | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Case/new?count=1&nooverride=1&useRecordTypeCheck=1&navigationLocation=LIST_VIEW&backgroundContext=%2Flightning%2Fr%2FCase%2F500J3000006gBVTIA2%2Fview,Salesforce,Status Working,Salesforce | New,Salesforce | New,1,14,0,0,2025-06-11T12:19:42.780000,2025-06-11T12:19:59.410000
1175,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.75,msedge,Recently Viewed | Cases | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Case/list?filterName=__Recent,Salesforce,Status In Progress,Salesforce | Cases | Recently Viewed,Salesforce | Cases | Recently Viewed,1,0,0,0,2025-06-11T12:20:49.945000,2025-06-11T12:20:50.695000
1175,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.206,msedge,Recently Viewed | Knowledge | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Dashboard/home,Salesforce,Status On Hold,Salesforce | Dashboards | Recently Viewed,Salesforce | Dashboards | Recently Viewed,0,0,0,0,2025-06-11T12:21:07.416000,2025-06-11T12:21:07.622000
1178,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0,EXCEL,Book1 - Excel,,Microsoft Excel,Status Response Received,Microsoft Excel,B3,0,0,0,0,2025-06-11T12:31:47.576000,2025-06-11T12:31:47.576000
1177,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,22.923,msedge,00001176 | Case | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/r/Case/500J300000E5HehIAF/view,Salesforce,Status Working,Salesforce | Case,Salesforce | Case,10,0,0,0,2025-06-11T12:23:41.586000,2025-06-11T12:24:04.509000
1177,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,0.283,msedge,Recent | Reports | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Report/home,Salesforce,Created.,Salesforce | Reports,Salesforce | Reports,0,0,0,0,2025-06-11T12:24:04.732000,2025-06-11T12:24:05.015000
1177,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,1.989,msedge,Recent | Reports | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Report/home?queryScope=mru,Salesforce,Status Working,Salesforce | Reports,Salesforce | Reports,1,0,0,0,2025-06-11T12:24:05.015000,2025-06-11T12:24:07.004000
1176,329ddf4b-3d10-482a-9626-3c0d587cf308,user1@apromore.com,LAPTOP1,1.958,msedge,Recent | Dashboards | Salesforce and 12 more pages - Work - Microsoft​ Edge,https://apromore3-dev-ed.lightning.force.com/lightning/o/Dashboard/home?queryScope=mru,Salesforce,Status Response Received,Salesforce | Dashboards,Salesforce | Dashboards,1,0,0,0,2025-06-11T12:24:07.065000,2025-06-11T12:24:09.023000
